product_id,product_name,category,sub_category,transaction_count,total_quantity,total_revenue,cumulative_revenue,cumulative_percentage,revenue_percentage,abc_class
23843,"PAPER CRAFT , LITTLE BIRDIE",General,General,1,80995,168469.6,168469.6,4.521216961954515,4.521216961954515,A
22423,damages,General,General,734,5358,61819.56,230289.16,6.180267872341699,1.6590509103871844,A
85123A,CREAM HANGING HEART T-LIGHT HOLDER,General,General,865,16150,43951.88,274241.04,7.359804034152432,1.1795361618107325,A
85099B,JUMBO BAG RED RETROSPOT,General,General,676,20138,37203.22,311444.26,8.358226475372245,0.9984224412198132,A
POST,,General,General,444,1251,35379.15,346823.41000000003,9.307696368335327,0.9494698929630809,A
84879,damaged,General,General,583,17937,28295.61,375119.02,10.067065369513282,0.759369001177956,A
47566,PARTY BUNTING,General,General,572,6295,28111.17,403230.19,10.821484556264998,0.7544191867517159,A
21137,,General,General,136,6554,22350.65,425580.84,11.42130872567425,0.5998241694092505,A
79321,,General,General,220,4326,20362.78,445943.62,11.967784447873079,0.5464757221988308,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,General,General,449,7252,19694.2,465637.82,12.49631749533164,0.5285330474585599,A
23084,website fixed,General,General,329,8914,16703.36,482341.18,12.944585399770379,0.4482679044387389,A
M,Manual,General,General,109,2549,16080.32,498421.5,13.376132785991135,0.43154738622075683,A
23284,,General,General,281,2341,15821.92,514243.42,13.800745494009004,0.4246127080178701,A
23203,JUMBO BAG VINTAGE DOILY ,General,General,432,8172,15683.76,529927.1799999999,14.221650403495484,0.4209049094864815,A
22386,JUMBO BAG PINK POLKADOT,General,General,376,8261,15368.35,545295.5299999999,14.634090657982071,0.4124402544865879,A
21915,John Lewis,General,General,233,13668,15029.94,560325.4699999999,15.037449006699932,0.40335834871786147,A
22197,POPCORN HOLDER,General,General,448,19286,14647.2,574972.6699999998,15.430535765884615,0.3930867591846848,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,General,General,269,2334,13891.55,588864.2199999999,15.803343153614149,0.3728073877295324,A
22470,,General,General,369,4410,13225.74,602089.9599999998,16.158282205065568,0.3549390514514209,A
22178,VICTORIAN GLASS HANGING T-LIGHT,General,General,367,10164,13188.41,615278.3699999999,16.512219431682183,0.3539372266166153,A
23298,"BUNTING , SPOTTY ",General,General,408,2807,13154.65,628433.0199999999,16.865250641518116,0.35303120983592856,A
22469,,General,General,418,7623,13129.71,641562.7299999999,17.21761253682471,0.35236189530659423,A
