date,product_id,product_name,scope,metric,revenue,units,transactions,z_score,roll_mean,is_anomaly,severity,direction,iqr_flag
2011-10-11,21843,smashed,product,price,10.2,32,,-5.295,10.92,True,Critical,Drop,False
2011-07-11,22625,,product,price,4.25,4,,-5.18,8.31,True,Critical,Drop,True
2011-03-10,22726,,product,price,3.4166666666666665,108,,-5.004,3.74,True,Critical,Drop,True
2011-12-01,21621,,product,price,7.470588235294118,102,,-4.761,8.49,True,Critical,Drop,True
2012-02-13,C2,,product,price,48.4,22,,-4.601,49.98,True,Critical,Drop,False
2011-07-12,22727,ALARM CLOCK BAKELIKE RED ,product,price,3.03714069591528,661,,-4.461,3.7,True,Critical,Drop,True
2011-04-07,48194,DOORMAT HEARTS,product,price,4.58,300,,-4.449,7.76,True,Critical,Drop,True
2011-02-06,22727,ALARM CLOCK BAKELIKE RED ,product,price,3.55,18,,-4.364,3.74,True,Critical,Drop,False
2011-03-02,22727,ALARM CLOCK BAKELIKE RED ,product,price,3.4166666666666665,54,,-4.265,3.73,True,Critical,Drop,True
2011-04-07,48187,DOORMAT NEW ENGLAND,product,price,4.602317880794702,302,,-4.248,7.7,True,Critical,Drop,True
2011-03-03,21621,,product,price,7.002463054187192,203,,-4.247,8.41,True,Critical,Drop,True
2011-11-08,21843,smashed,product,price,9.95,24,,-4.196,10.89,True,Critical,Drop,True
2011-07-06,23284,,product,price,4.7404761904761905,210,,-4.086,7.45,True,Critical,Drop,True
2011-04-07,21523,DOORMAT FANCY FONT HOME SWEET HOME,product,price,4.58,300,,-4.022,7.68,True,Critical,Drop,True
2011-04-05,23298,"BUNTING , SPOTTY ",product,price,4.170779220779221,154,,-4.007,4.91,True,Critical,Drop,True
2013-11-29,23298,"BUNTING , SPOTTY ",product,revenue,422.0,83,,4.005,79.0,True,Critical,Spike,True
2012-09-17,48187,DOORMAT NEW ENGLAND,product,revenue,497.49,65,,4.007,75.97,True,Critical,Spike,True
2014-02-18,M,Manual,product,revenue,8750.07,63,,4.017,1565.1,True,Critical,Spike,True
2014-10-10,85123A,CREAM HANGING HEART T-LIGHT HOLDER,product,revenue,389.66,133,,4.019,66.42,True,Critical,Spike,True
2013-12-02,22960,JAM MAKING SET WITH JARS,product,revenue,289.31,68,,4.02,63.19,True,Critical,Spike,True
2014-12-08,22847,,product,revenue,747.3,47,,4.021,138.24,True,Critical,Spike,True
2012-04-17,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,product,revenue,272.6,94,,4.024,46.45,True,Critical,Spike,True
2015-03-04,22139,amazon,product,revenue,290.68,57,,4.024,58.07,True,Critical,Spike,True
2015-01-07,21843,smashed,product,revenue,1026.63,99,,4.025,157.21,True,Critical,Spike,True
2015-12-19,22457,NATURAL SLATE HEART CHALKBOARD ,product,revenue,255.26,88,,4.027,48.27,True,Critical,Spike,True
2015-06-06,21523,DOORMAT FANCY FONT HOME SWEET HOME,product,revenue,442.18,58,,4.029,85.23,True,Critical,Spike,True
2015-02-23,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,product,revenue,287.0,100,,4.033,53.22,True,Critical,Spike,True
2011-11-08,M,Manual,product,price,2500.0,1,,4.033,199.78,True,Critical,Spike,True
2011-05-12,22720,,product,price,6.073076923076923,26,,4.034,4.89,True,Critical,Spike,True
2012-11-08,22727,ALARM CLOCK BAKELIKE RED ,product,revenue,330.15,87,,4.035,57.38,True,Critical,Spike,True
2012-04-16,22423,damages,product,revenue,1544.04,120,,4.041,307.46,True,Critical,Spike,True
2013-04-03,47566,PARTY BUNTING,product,revenue,333.11,69,,4.042,80.57,True,Critical,Spike,True
2014-12-29,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,product,revenue,332.48,113,,4.043,62.42,True,Critical,Spike,True
2013-03-30,20685,DOORMAT RED RETROSPOT,product,revenue,552.08,70,,4.046,115.6,True,Critical,Spike,True
2015-04-17,48187,DOORMAT NEW ENGLAND,product,revenue,588.53,72,,4.048,115.78,True,Critical,Spike,True
2013-05-02,79321,,product,revenue,336.93,63,,4.055,63.77,True,Critical,Spike,True
2012-11-13,48138,DOORMAT UNION FLAG,product,revenue,820.33,103,,4.056,120.28,True,Critical,Spike,True
2013-11-26,21523,DOORMAT FANCY FONT HOME SWEET HOME,product,revenue,548.83,71,,4.072,98.06,True,Critical,Spike,True
2011-06-09,22624,IVORY KITCHEN SCALES,product,revenue,268.6,34,,4.072,58.33,True,Critical,Spike,False
2014-02-19,21621,,product,revenue,468.63,57,,4.075,108.76,True,Critical,Spike,True
2011-10-10,22139,amazon,product,price,6.172325581395349,43,,4.075,4.89,True,Critical,Spike,True
2012-12-13,48194,DOORMAT HEARTS,product,revenue,716.93,94,,4.077,123.82,True,Critical,Spike,True
2013-12-13,23284,,product,revenue,930.28,116,,4.081,141.85,True,Critical,Spike,True
2013-05-20,22112,CHOCOLATE HOT WATER BOTTLE,product,revenue,500.91,101,,4.089,83.06,True,Critical,Spike,True
2013-07-30,21621,,product,revenue,798.07,91,,4.091,128.79,True,Critical,Spike,True
2012-01-05,22776,SWEETHEART 3 TIER CAKE STAND ,product,revenue,338.71,35,,4.095,54.81,True,Critical,Spike,True
2015-08-06,22193,RED DINER WALL CLOCK,product,revenue,398.56,47,,4.097,84.53,True,Critical,Spike,True
2014-11-27,22487,WHITE WOOD GARDEN PLANT LADDER,product,revenue,593.46,63,,4.099,112.03,True,Critical,Spike,True
2014-06-16,22624,IVORY KITCHEN SCALES,product,revenue,859.79,101,,4.1,147.34,True,Critical,Spike,True
2012-05-05,22111,SCOTTIE DOG HOT WATER BOTTLE,product,revenue,284.48,56,,4.103,60.56,True,Critical,Spike,True
2012-11-02,84879,damaged,product,revenue,177.5,107,,4.103,32.06,True,Critical,Spike,True
2012-10-20,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,product,revenue,268.28,88,,4.107,44.96,True,Critical,Spike,True
2014-02-10,22727,ALARM CLOCK BAKELIKE RED ,product,revenue,348.53,91,,4.121,63.1,True,Critical,Spike,True
