cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2010-01,94.0,6.0,4.0,,5.0,7.0,3.0,10.0,7.0,5.0,,,26.0,18.0,19.0,19.0,27.0,27.0,24.0,23.0,20.0,22.0,21.0,18.0
2010-02,93.0,,,,2.0,6.0,3.0,7.0,4.0,,1.0,18.0,13.0,16.0,22.0,14.0,16.0,21.0,16.0,18.0,21.0,21.0,15.0,
2010-03,46.0,,1.0,1.0,1.0,,3.0,,,1.0,8.0,9.0,9.0,11.0,13.0,12.0,9.0,10.0,5.0,13.0,11.0,8.0,,
2010-05,69.0,2.0,3.0,1.0,4.0,1.0,,6.0,17.0,12.0,18.0,21.0,16.0,24.0,15.0,18.0,21.0,13.0,18.0,20.0,,,,
2010-06,70.0,2.0,2.0,1.0,1.0,,1.0,17.0,9.0,6.0,11.0,17.0,15.0,18.0,13.0,11.0,9.0,13.0,2.0,,,,,
2010-07,50.0,,1.0,1.0,,,9.0,12.0,5.0,9.0,15.0,10.0,10.0,11.0,12.0,6.0,11.0,4.0,,,,,,
2010-08,83.0,,1.0,,2.0,17.0,11.0,11.0,15.0,16.0,16.0,22.0,22.0,14.0,18.0,17.0,17.0,,,,,,,
2010-09,66.0,,,,18.0,7.0,9.0,10.0,15.0,8.0,15.0,8.0,8.0,9.0,6.0,10.0,,,,,,,,
2010-10,40.0,,,7.0,3.0,6.0,11.0,5.0,5.0,7.0,3.0,7.0,4.0,7.0,6.0,,,,,,,,,
2010-12,31.0,3.0,4.0,5.0,4.0,6.0,2.0,1.0,7.0,4.0,8.0,4.0,1.0,,,,,,,,,,,
2011-01,331.0,45.0,40.0,51.0,45.0,57.0,62.0,52.0,51.0,35.0,41.0,49.0,,,,,,,,,,,,
2011-02,242.0,24.0,30.0,23.0,28.0,33.0,23.0,34.0,24.0,25.0,28.0,,,,,,,,,,,,,
2011-03,202.0,22.0,22.0,29.0,33.0,23.0,20.0,18.0,23.0,14.0,,,,,,,,,,,,,,
2011-04,239.0,26.0,32.0,26.0,31.0,21.0,27.0,24.0,13.0,,,,,,,,,,,,,,,
2011-05,229.0,30.0,22.0,28.0,21.0,19.0,20.0,17.0,,,,,,,,,,,,,,,,
2011-06,233.0,25.0,22.0,25.0,17.0,21.0,17.0,,,,,,,,,,,,,,,,,
2011-07,203.0,30.0,23.0,21.0,20.0,10.0,,,,,,,,,,,,,,,,,,
2011-08,171.0,12.0,10.0,18.0,12.0,,,,,,,,,,,,,,,,,,,
2011-09,125.0,6.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,
2011-10,145.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,
2011-11,139.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2011-12,88.0,,,,,,,,,,,,,,,,,,,,,,,
