customer_id,customer_name,state,age_group,loyalty_tier,customer_segment,cluster_id,cluster_label,recency_days,frequency,monetary_total,avg_order_value,product_variety,purchase_span,avg_monthly_spend,pca_x,pca_y
17841,Unknown,United Kingdom,,,,0,Elite Buyers,0,555,410932.87,740.4195855855855,2567,2179,5707.400972222223,-4.680581817508533,2.1780595472673614
14911,Unknown,EIRE,,,,0,Elite Buyers,2,438,318022.13,726.0779223744292,2375,2177,4416.974027777777,-4.505747920654807,1.9995939420422866
12748,Unknown,United Kingdom,,,,0,Elite Buyers,17,379,249010.52,657.0198416886543,2365,2162,3458.4794444444447,-4.2944951210587705,1.7981851996911684
14096,Unknown,United Kingdom,,,,0,Elite Buyers,0,288,204246.14,709.1879861111111,2124,1786,3461.7989830508473,-3.8685561958853953,2.0968876026718233
15311,Unknown,United Kingdom,,,,0,Elite Buyers,0,267,193575.72,725.0026966292135,1955,2179,2688.5516666666667,-4.184240024320207,1.6672419088086698
14646,Unknown,Netherlands,,,,0,Elite Buyers,0,163,178981.51,1098.046073619632,1619,1820,2983.025166666667,-3.9336971349890426,2.283876432728289
16446,Unknown,United Kingdom,,,,0,Elite Buyers,1314,2,170447.17,85223.585,64,257,18938.574444444443,-2.072463890222113,8.837583042637608
14606,Unknown,United Kingdom,,,,0,Elite Buyers,0,229,142771.74,623.4573799126638,1934,2179,1982.9408333333333,-3.9506845972012785,1.3614878098632377
13089,Unknown,United Kingdom,,,,0,Elite Buyers,14,186,130953.71,704.0522043010752,1656,2045,1925.7898529411764,-3.7740187737806554,1.5367675913907444
18102,Unknown,United Kingdom,,,,0,Elite Buyers,1,52,124262.47,2389.6628846153844,672,1997,1882.764696969697,-3.9914048916713045,2.391791298790876
15039,Unknown,United Kingdom,,,,0,Elite Buyers,6,150,120429.59,802.8639333333333,1621,2022,1797.4565671641792,-3.762459909423996,1.5948420693904182
17511,Unknown,United Kingdom,,,,0,Elite Buyers,27,115,110975.95,965.0082608695652,1324,2152,1563.0415492957748,-3.835298434339645,1.5586435940522665
14156,Unknown,EIRE,,,,0,Elite Buyers,0,128,99131.96,774.4684375,1305,2120,1416.1708571428571,-3.685887306897248,1.3275803349095707
15719,Unknown,United Kingdom,,,,0,Elite Buyers,7,147,93853.89,638.4618367346939,1564,1810,1564.2315,-3.330723779122011,1.4878532603881025
13081,Unknown,United Kingdom,,,,0,Elite Buyers,42,114,91523.38,802.8366666666667,1408,2078,1326.4257971014492,-3.58195898655455,1.392800284167011
16891,Unknown,United Kingdom,,,,0,Elite Buyers,21,35,81084.33,2316.695142857143,649,2099,1175.1352173913044,-3.8005576217090176,2.0139925003838677
18118,Unknown,United Kingdom,,,,0,Elite Buyers,29,122,78602.73,644.2846721311475,1434,2030,1173.1750746268656,-3.3870570725891396,1.1731363268418564
13263,Unknown,United Kingdom,,,,0,Elite Buyers,35,125,75486.45,603.8916,1337,1785,1279.4313559322034,-3.0937794915416146,1.3580251332271738
12415,Unknown,Australia,,,,0,Elite Buyers,20,51,75070.4,1471.9686274509804,894,1802,1251.1733333333334,-3.381573115385167,1.9499091093198266
14298,Unknown,United Kingdom,,,,0,Elite Buyers,10,102,73494.61,720.5353921568627,1336,1807,1224.9101666666666,-3.197496611332533,1.4178675831579008
14527,Unknown,United Kingdom,,,,0,Elite Buyers,0,111,71551.34,644.6066666666667,1273,2059,1052.225588235294,-3.3687703168899543,1.045855984965168
14796,Unknown,United Kingdom,,,,0,Elite Buyers,30,95,65420.14,688.633052631579,1281,1937,1022.1896875,-3.198095145310214,1.1957647305936867
14056,Unknown,United Kingdom,,,,0,Elite Buyers,17,111,61681.65,555.6905405405405,1287,1742,1063.4767241379311,-2.920975800039967,1.1890821630065473
17337,Unknown,United Kingdom,,,,0,Elite Buyers,40,105,59718.51,568.7477142857143,1399,1753,1029.6294827586207,-2.91337213837626,1.2056166499487724
13230,Unknown,United Kingdom,,,,0,Elite Buyers,23,81,58992.2,728.2987654320988,1146,1913,936.384126984127,-3.123575820533854,1.1839452799250998
15061,Unknown,United Kingdom,,,,0,Elite Buyers,14,54,58623.6,1085.6222222222223,798,2134,825.6845070422535,-3.40499597356079,1.2123423981256203
16029,Unknown,United Kingdom,,,,0,Elite Buyers,325,42,58116.67,1383.730238095238,422,1854,952.7322950819672,-2.717823262470436,1.9845657810334203
17735,Unknown,United Kingdom,,,,0,Elite Buyers,13,97,56577.1,583.2690721649484,1175,1985,857.2287878787879,-3.094944502809632,0.9059770430366425
16984,Unknown,United Kingdom,,,,0,Elite Buyers,9,89,55742.74,626.3229213483146,1276,1809,929.0456666666666,-2.979317036101156,1.1335172000584166
15856,Unknown,United Kingdom,,,,0,Elite Buyers,89,71,55210.07,777.6066197183098,1108,1847,905.0831147540983,-2.963602630381202,1.3274053138367492
14587,Unknown,United Kingdom,,,,0,Elite Buyers,91,60,53931.99,898.8665,936,1733,946.1752631578947,-2.8643260262779484,1.5348709217054115
16360,Unknown,United Kingdom,,,,0,Elite Buyers,1,86,53494.52,622.0293023255814,1193,1814,891.5753333333333,-2.9526884253434127,1.0860289463108956
14667,Unknown,United Kingdom,,,,0,Elite Buyers,19,69,53000.09,768.1172463768116,1009,2009,791.046119402985,-3.1454959534324645,1.0386843068480744
16033,Unknown,United Kingdom,,,,0,Elite Buyers,5,101,52987.91,524.6327722772277,1181,2054,779.2339705882353,-3.0905999208923753,0.7088261922718323
13098,Unknown,United Kingdom,,,,0,Elite Buyers,41,84,52709.24,627.4909523809524,934,1691,941.2364285714285,-2.7323376820532905,1.244381196615964
14534,Unknown,United Kingdom,,,,0,Elite Buyers,3,77,52495.96,681.7657142857142,1144,1694,937.4278571428572,-2.8582053103945846,1.2691483887929467
