module,feature,psi,status,ref_mean,curr_mean,ref_std,curr_std,ref_n,curr_n
RFM,recency,0.0104,STABLE,5336.61,5347.99,133.23,146.54,1494,1495
RFM,frequency,0.0138,STABLE,55.64,53.17,113.16,107.9,1494,1495
RFM,monetary,0.0316,STABLE,1238.65,1243.06,3715.56,5830.62,1494,1495
Segmentation,cluster_id,0.1175,SLIGHT_DRIFT,0.0,0.31,0.0,0.46,1494,1495
Segmentation,recency_days,1.2322,SIGNIFICANT_DRIFT,110.7,630.53,151.53,594.76,1494,1495
Segmentation,frequency,7.9625,SIGNIFICANT_DRIFT,22.62,4.13,28.93,2.46,1494,1495
Segmentation,monetary_total,11.5128,SIGNIFICANT_DRIFT,14898.11,1735.43,21356.98,1203.8,1494,1495
Segmentation,avg_order_value,0.8499,SIGNIFICANT_DRIFT,752.53,405.77,2282.72,255.02,1494,1495
Segmentation,product_variety,10.322,SIGNIFICANT_DRIFT,391.18,65.91,266.97,48.09,1494,1495
Segmentation,purchase_span,1.6653,SIGNIFICANT_DRIFT,1690.24,1088.51,252.96,603.72,1494,1495
Segmentation,avg_monthly_spend,1.5375,SIGNIFICANT_DRIFT,281.91,77.89,822.1,154.05,1494,1495
Segmentation,pca_x,9.1261,SIGNIFICANT_DRIFT,-1.53,1.53,0.76,2.11,1494,1495
Segmentation,pca_y,0.8037,SIGNIFICANT_DRIFT,0.28,-0.28,0.67,1.19,1494,1495
Churn,recency,0.0104,STABLE,5336.61,5347.99,133.23,146.54,1494,1495
Churn,frequency,0.0138,STABLE,55.64,53.17,113.16,107.9,1494,1495
Churn,monetary,0.0316,STABLE,1238.65,1243.06,3715.56,5830.62,1494,1495
Churn,churn_probability,0.0085,STABLE,0.23,0.26,0.42,0.44,1494,1495
Churn,churn_prediction,0.004,STABLE,0.23,0.26,0.42,0.44,1494,1495
