region,total_transactions,unique_customers,total_revenue,avg_order_value,total_units,revenue_share_pct,revenue_per_customer,country_code,yoy_growth_pct
United Kingdom,820286,2984,21961927.57,26.77,7907258,88.01,7359.9,GBR,-5.0
France,21083,605,560049.58,26.56,203026,2.24,925.7,FRA,6.5
Germany,20449,598,559034.49,27.34,202409,2.24,934.84,DEU,7.4
EIRE,14672,415,424648.85,28.94,157513,1.7,1023.25,IRL,11.1
Netherlands,4588,154,190145.37,41.44,96531,0.76,1234.71,NLD,7.0
Belgium,6124,225,164933.77,26.93,57066,0.66,733.04,BEL,-18.8
Spain,5683,193,160342.41,28.21,53516,0.64,830.79,ESP,-8.6
Switzerland,5108,171,155803.86,30.5,53172,0.62,911.13,CHE,61.4
Australia,2692,101,111294.58,41.34,49457,0.45,1101.93,AUS,48.9
Portugal,4197,149,102668.26,24.46,37880,0.41,689.05,PRT,-25.2
Norway,2734,92,76940.25,28.14,29344,0.31,836.31,NOR,75.5
Finland,2366,99,66528.11,28.12,23424,0.27,672.0,FIN,-30.8
Cyprus,2028,73,56425.08,27.82,19694,0.23,772.95,CYP,16.4
Channel Islands,2037,85,55730.07,27.36,19739,0.22,655.65,GBR,10.9
Japan,1346,54,48040.26,35.69,19278,0.19,889.63,JPN,-6.1
Poland,1159,39,30301.66,26.14,11224,0.12,776.97,POL,-0.3
Sweden,816,34,28901.14,35.42,14950,0.12,850.03,SWE,32.2
Italy,1058,45,27269.93,25.77,10091,0.11,606.0,ITA,73.8
Denmark,753,39,22874.84,30.38,9284,0.09,586.53,DNK,-31.7
Austria,838,31,22402.25,26.73,7978,0.09,722.65,AUT,-33.1
USA,883,38,21515.98,24.37,8551,0.09,566.21,USA,9.0
Iceland,811,30,20314.92,25.05,7587,0.08,677.16,ISL,576.1
Greece,615,24,16792.21,27.3,5551,0.07,699.68,GRC,-35.5
United Arab Emirates,484,12,12737.67,26.32,4456,0.05,1061.47,ARE,1271.0
Singapore,320,14,12589.98,39.34,3960,0.05,899.28,SGP,-27.1
Canada,445,18,12344.46,27.74,4914,0.05,685.8,CAN,33.8
Unspecified,419,16,9948.59,23.74,4070,0.04,621.79,,52.5
Malta,307,12,8473.01,27.6,3056,0.03,706.08,MLT,153.9
Lithuania,123,9,4694.8,38.17,1560,0.02,521.64,LTU,172.4
Israel,138,7,3540.09,25.65,1209,0.01,505.73,ISR,38.1
European Community,63,5,1641.76,26.06,485,0.01,328.35,,
Czech Republic,54,4,1393.42,25.8,670,0.01,348.36,CZE,
Bahrain,19,2,941.67,49.56,321,0.0,470.84,BHR,
