product_id,product_name,category,avg_unit_price,trading_days,avg_daily_demand,std_daily_demand,cv,safety_stock,reorder_point,eoq,max_stock,annual_demand,orders_per_year,annual_holding_cost,annual_ordering_cost,total_annual_cost,avg_daily_forecast,forecast_annual,forecast_rop,forecast_eoq,stockout_risk
23843,"PAPER CRAFT , LITTLE BIRDIE",General,2.1,3,27004.0,46757.578,1.732,203501.2,392529.2,48443.5,440972.7,9856460.0,203.5,10173.14,10173.14,20346.29,,,392529.2,48443.5,Critical
47556B,did  a credit  and did not tick ret,General,2.5,2,652.5,915.703,1.403,3985.4,8552.9,6908.5,15461.4,238162.5,34.5,1723.68,1723.68,3447.36,,,8552.9,6901.6,High
17096,Unknown,General,0.2,27,77.926,330.103,4.236,1436.7,1982.2,8440.3,10422.5,28443.0,3.4,168.49,168.49,336.99,,,1982.2,8432.5,Critical
16014,SMALL CHINESE STYLE SCISSOR,General,0.39,118,75.797,356.17,4.699,1550.1,2080.7,5919.8,8000.5,27665.8,4.7,233.67,233.67,467.34,,,2080.7,5955.6,Critical
84568,GIRLS ALPHABET IRON ON PATCHES ,General,0.21,60,72.217,210.24,2.911,915.0,1420.5,7976.1,9396.6,26359.1,3.3,165.24,165.24,330.48,,,1420.5,7922.1,Critical
84598,check,General,0.21,19,58.737,142.122,2.42,618.6,1029.7,7109.0,8138.8,21438.9,3.0,150.79,150.79,301.57,,,1029.8,7144.6,Critical
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,General,0.29,752,42.176,179.109,4.247,779.5,1074.8,5155.3,6230.1,15394.1,3.0,149.3,149.3,298.6,13.93,5084.4,877.0,2960.8,Critical
17084R,ASSORTED INCENSE PACK,General,0.2,73,40.562,169.284,4.174,736.8,1020.7,6055.9,7076.6,14805.0,2.4,122.24,122.24,244.47,,,1020.7,6083.8,Critical
85123A,CREAM HANGING HEART T-LIGHT HOLDER,General,2.88,1303,37.213,96.332,2.589,419.3,679.8,1536.1,2215.9,13582.9,8.8,442.12,442.12,884.23,24.07,8785.6,587.8,1235.0,Critical
85099B,JUMBO BAG RED RETROSPOT,General,2.01,1267,36.872,79.344,2.152,345.3,603.4,1831.9,2435.4,13458.3,7.3,367.33,367.33,734.66,25.21,9201.6,521.8,1512.9,Critical
16033,Unknown,General,0.12,4,36.75,55.65,1.514,242.2,499.5,7555.1,8054.6,13413.8,1.8,88.77,88.77,177.55,,,499.4,7476.0,Critical
23446,BLUE BUNNY EASTER EGG BASKET,General,1.54,5,35.4,60.834,1.718,264.8,512.6,2048.2,2560.8,12921.0,6.3,315.42,315.42,630.85,,,512.6,2048.2,Critical
85135A,Unknown,General,8.1,3,35.333,56.039,1.586,243.9,491.2,892.1,1383.3,12896.7,14.5,722.86,722.86,1445.72,,,491.2,892.2,Critical
22197,POPCORN HOLDER,General,0.84,1101,34.224,107.415,3.139,467.5,707.1,2731.7,3438.8,12491.9,4.6,228.64,228.64,457.29,14.790000000000001,5398.4,571.0,1792.6,Critical
