sequence,steps,count,pct
High → High,2,4567,152.79
Medium → Medium,2,4521,151.25
Low → Low,2,4319,144.5
Medium → High,2,4267,142.76
High → Medium,2,3925,131.31
Low → Medium,2,3910,130.81
Medium → Low,2,3899,130.44
Low → High,2,3897,130.38
High → Low,2,3668,122.72
High → High → High,3,1638,54.8
Medium → Medium → Medium,3,1586,53.06
Low → Low → Low,3,1534,51.32
Medium → High → High,3,1430,47.84
Medium → Medium → High,3,1395,46.67
High → Medium → High,3,1352,45.23
High → High → Medium,3,1328,44.43
Low → High → High,3,1304,43.63
Medium → High → Medium,3,1265,42.32
Medium → Medium → Low,3,1263,42.25
Low → Low → Medium,3,1250,41.82
High → High → Low,3,1239,41.45
Low → Medium → High,3,1235,41.32
Low → Low → High,3,1232,41.22
Medium → High → Low,3,1222,40.88
Medium → Low → High,3,1221,40.85
High → Medium → Medium,3,1220,40.82
High → Low → High,3,1211,40.52
Medium → Low → Medium,3,1208,40.41
Low → Medium → Medium,3,1190,39.81
Medium → Low → Low,3,1177,39.38
Low → Medium → Low,3,1171,39.18
Low → High → Medium,3,1168,39.08
Low → High → Low,3,1120,37.47
High → Low → Medium,3,1111,37.17
High → Medium → Low,3,1091,36.5
High → Low → Low,3,1050,35.13
