product_id,product_name,category,price_elasticity,elasticity_type,r_squared,p_value,std_err,is_significant,avg_price,min_price,max_price,price_cv,avg_daily_qty,trading_days,interpretation
22570,Unknown,General,-32.1405,Highly Elastic,0.4694,0.0,4.0557,True,3.7188,3.39,3.75,0.0266,21.7,73,A 1% price increase leads to a 32.14% decrease in demand. Highly price-sensitive.
23390,DOLLY GIRL MINI RUCKSACK,General,-29.7522,Highly Elastic,0.4299,0.0003,6.994,True,4.1216,3.75,4.15,0.0245,12.27,26,A 1% price increase leads to a 29.75% decrease in demand. Highly price-sensitive.
22363,GLASS JAR MARMALADE ,General,-29.5175,Highly Elastic,0.5099,0.0,5.7879,True,2.9352,2.55,2.95,0.0262,6.85,27,A 1% price increase leads to a 29.52% decrease in demand. Highly price-sensitive.
23046,PAPER LANTERN 9 POINT DELUXE STAR,General,-29.0707,Highly Elastic,0.6771,0.0001,5.3653,True,6.5938,5.75,6.65,0.0341,19.44,16,A 1% price increase leads to a 29.07% decrease in demand. Highly price-sensitive.
23269,incorrect stock entry.,General,-28.8387,Highly Elastic,0.2817,0.0234,11.513,True,1.4419,1.3045,1.45,0.0238,16.72,18,A 1% price increase leads to a 28.84% decrease in demand. Highly price-sensitive.
23512,EMBROIDERED RIBBON REEL ROSIE,General,-28.828,Highly Elastic,0.523,0.0007,6.8822,True,2.0651,1.8123,2.08,0.0306,12.61,18,A 1% price increase leads to a 28.83% decrease in demand. Highly price-sensitive.
23177,TREASURE ISLAND BOOK BOX,General,-28.764,Highly Elastic,0.5378,0.0,3.6979,True,2.2283,1.95,2.25,0.0348,26.61,54,A 1% price increase leads to a 28.76% decrease in demand. Highly price-sensitive.
23392,SPACEBOY ROCKET LOLLY MAKERS,General,-28.3403,Highly Elastic,0.3567,0.0069,9.2307,True,2.0673,1.8379,2.08,0.0269,11.68,19,A 1% price increase leads to a 28.34% decrease in demand. Highly price-sensitive.
22569,?,General,-28.1751,Highly Elastic,0.5288,0.0,3.2988,True,3.7089,3.39,3.75,0.029,19.61,67,A 1% price increase leads to a 28.18% decrease in demand. Highly price-sensitive.
21137,Unknown,General,-27.7793,Highly Elastic,0.6996,0.0,2.2073,True,3.5629,3.39,4.1622,0.0516,93.63,70,A 1% price increase leads to a 27.78% decrease in demand. Highly price-sensitive.
21749,LARGE RED RETROSPOT WINDMILL,General,-27.3002,Highly Elastic,0.4497,0.0,5.5139,True,2.0855,1.85,2.1,0.0275,13.59,32,A 1% price increase leads to a 27.3% decrease in demand. Highly price-sensitive.
23194,GYMKHANA TREASURE BOOK BOX,General,-27.0037,Highly Elastic,0.481,0.0,4.0916,True,2.2303,1.95,2.25,0.0321,17.16,49,A 1% price increase leads to a 27.0% decrease in demand. Highly price-sensitive.
23254,KIDS CUTLERY DOLLY GIRL ,General,-26.9465,Highly Elastic,0.392,0.0,4.567,True,4.1295,3.75,4.15,0.0211,13.91,56,A 1% price increase leads to a 26.95% decrease in demand. Highly price-sensitive.
22316,200 BENDY SKULL STRAWS,General,-26.7115,Highly Elastic,0.4316,0.0012,7.0324,True,1.241,1.06,1.25,0.0334,13.43,21,A 1% price increase leads to a 26.71% decrease in demand. Highly price-sensitive.
23240,SET OF 4 KNICK KNACK TINS  DOILEY ,General,-26.6535,Highly Elastic,0.3034,0.0,5.1706,True,4.1251,3.7598,4.15,0.021,21.35,63,A 1% price increase leads to a 26.65% decrease in demand. Highly price-sensitive.
22078,Unknown,General,-26.0119,Highly Elastic,0.4454,0.0,4.4792,True,2.0839,1.85,2.1,0.029,15.98,44,A 1% price increase leads to a 26.01% decrease in demand. Highly price-sensitive.
23515,EMBROIDERED RIBBON REEL DAISY ,General,-26.0071,Highly Elastic,0.5439,0.0011,6.3654,True,2.0635,1.8157,2.08,0.032,15.69,16,A 1% price increase leads to a 26.01% decrease in demand. Highly price-sensitive.
23391, I LOVE LONDON MINI RUCKSACK,General,-25.8246,Highly Elastic,0.5016,0.0015,6.646,True,4.1265,3.75,4.15,0.0235,7.06,17,A 1% price increase leads to a 25.82% decrease in demand. Highly price-sensitive.
23513,EMBROIDERED RIBBON REEL SUSIE ,General,-25.689,Highly Elastic,0.536,0.0004,5.7974,True,2.0657,1.8088,2.08,0.0301,13.26,19,A 1% price increase leads to a 25.69% decrease in demand. Highly price-sensitive.
23040,PAPER LANTERN 9 POINT SNOW STAR,General,-25.5187,Highly Elastic,0.5773,0.0002,5.296,True,5.7079,4.95,5.75,0.0322,9.63,19,A 1% price increase leads to a 25.52% decrease in demand. Highly price-sensitive.
21067,Unknown,General,-25.4751,Highly Elastic,0.3818,0.0107,8.663,True,1.2422,1.1251,1.25,0.0251,5.44,16,A 1% price increase leads to a 25.48% decrease in demand. Highly price-sensitive.
23338,EGG FRYING PAN RED ,General,-25.4381,Highly Elastic,0.2434,0.0122,9.3517,True,2.071,1.8547,2.08,0.0218,6.32,25,A 1% price increase leads to a 25.44% decrease in demand. Highly price-sensitive.
22517,CHILDS GARDEN RAKE PINK,General,-25.3637,Highly Elastic,0.5932,0.0005,5.6141,True,2.0844,1.85,2.1,0.03,4.06,16,A 1% price increase leads to a 25.36% decrease in demand. Highly price-sensitive.
22568,Unknown,General,-25.0119,Highly Elastic,0.4139,0.0,3.2474,True,3.7116,3.39,3.9186,0.0286,15.79,86,A 1% price increase leads to a 25.01% decrease in demand. Highly price-sensitive.
21439,BASKET OF TOADSTOOLS,General,-24.9619,Highly Elastic,0.2438,0.0048,8.1646,True,1.2439,1.06,1.25,0.0274,28.55,31,A 1% price increase leads to a 24.96% decrease in demand. Highly price-sensitive.
23525,WALL ART BUFFALO BILL ,General,-24.8913,Highly Elastic,0.5724,0.0004,5.555,True,3.6989,3.29,3.75,0.0391,14.94,17,A 1% price increase leads to a 24.89% decrease in demand. Highly price-sensitive.
21743,Unknown,General,-24.7242,Highly Elastic,0.4975,0.0033,6.8919,True,2.9263,2.5944,2.95,0.0314,12.93,15,A 1% price increase leads to a 24.72% decrease in demand. Highly price-sensitive.
23461,SWEETHEART BIRD HOUSE,General,-24.7114,Highly Elastic,0.7342,0.0,3.4107,True,4.11,3.3108,4.15,0.0446,32.81,21,A 1% price increase leads to a 24.71% decrease in demand. Highly price-sensitive.
22158,Unknown,General,-24.0544,Highly Elastic,0.392,0.0,4.5164,True,2.9181,2.5598,2.95,0.0322,31.83,46,A 1% price increase leads to a 24.05% decrease in demand. Highly price-sensitive.
21843,smashed,General,-24.0286,Highly Elastic,0.3682,0.0,3.2642,True,10.8525,9.95,10.95,0.0256,7.08,95,A 1% price increase leads to a 24.03% decrease in demand. Highly price-sensitive.
23255,CHILDRENS CUTLERY CIRCUS PARADE,General,-23.9655,Highly Elastic,0.4643,0.0,4.4144,True,4.1278,3.75,4.15,0.0225,11.44,36,A 1% price increase leads to a 23.97% decrease in demand. Highly price-sensitive.
23005,printing smudges/thrown away,General,-23.9598,Highly Elastic,0.163,0.0098,8.8089,True,0.4186,0.3655,0.42,0.0206,44.48,40,A 1% price increase leads to a 23.96% decrease in demand. Highly price-sensitive.
23345, DOLLY GIRL BEAKER,General,-23.7736,Highly Elastic,0.3471,0.0002,5.5914,True,1.2413,1.0896,1.25,0.0292,24.56,36,A 1% price increase leads to a 23.77% decrease in demand. Highly price-sensitive.
22412,Unknown,General,-23.5108,Highly Elastic,0.2604,0.0003,5.9729,True,2.0891,1.85,2.1,0.0247,12.59,46,A 1% price increase leads to a 23.51% decrease in demand. Highly price-sensitive.
22175,PINK OWL SOFT TOY,General,-23.4871,Highly Elastic,0.4559,0.0,4.1622,True,2.9308,2.55,2.95,0.029,9.03,40,A 1% price increase leads to a 23.49% decrease in demand. Highly price-sensitive.
23176,ABC TREASURE BOOK BOX ,General,-23.3943,Highly Elastic,0.4418,0.0,3.877,True,2.225,1.95,2.25,0.0376,21.67,48,A 1% price increase leads to a 23.39% decrease in demand. Highly price-sensitive.
22329,ROUND CONTAINER SET OF 5 RETROSPOT,General,-23.2286,Highly Elastic,0.1821,0.0025,7.2592,True,1.6425,1.45,1.65,0.0223,8.44,48,A 1% price increase leads to a 23.23% decrease in demand. Highly price-sensitive.
23346,SPACEBOY BEAKER,General,-23.2224,Highly Elastic,0.2748,0.0007,6.2872,True,1.2416,1.0896,1.25,0.0292,26.79,38,A 1% price increase leads to a 23.22% decrease in demand. Highly price-sensitive.
23120,PACK OF 6 SMALL FRUIT STRAWS,General,-23.2223,Highly Elastic,0.2769,0.0249,9.3825,True,0.4167,0.36,0.42,0.0339,30.72,18,A 1% price increase leads to a 23.22% decrease in demand. Highly price-sensitive.
23375,50'S CHRISTMAS PAPER GIFT BAG,General,-23.1286,Highly Elastic,0.4586,0.0004,5.4838,True,0.816,0.7291,0.82,0.0232,26.22,23,A 1% price increase leads to a 23.13% decrease in demand. Highly price-sensitive.
23297,SET 40 HEART SHAPE PETIT FOUR CASES,General,-23.0409,Highly Elastic,0.3595,0.002,6.5568,True,1.614,1.45,1.65,0.0453,68.92,24,A 1% price increase leads to a 23.04% decrease in demand. Highly price-sensitive.
22241,GARLAND WOODEN HAPPY EASTER,General,-23.0291,Highly Elastic,0.3181,0.0004,5.8691,True,1.2415,1.0937,1.25,0.0284,24.4,35,A 1% price increase leads to a 23.03% decrease in demand. Highly price-sensitive.
22149,Unknown,General,-22.9357,Highly Elastic,0.3812,0.0,3.0975,True,2.0859,1.8527,2.3537,0.0304,31.69,91,A 1% price increase leads to a 22.94% decrease in demand. Highly price-sensitive.
84987,SET OF 36 TEATIME PAPER DOILIES,General,-22.8431,Highly Elastic,0.1491,0.003,7.3584,True,1.4453,1.2654,1.5088,0.022,19.4,57,A 1% price increase leads to a 22.84% decrease in demand. Highly price-sensitive.
21217,RED RETROSPOT ROUND CAKE TINS,General,-22.8415,Highly Elastic,0.516,0.0,2.6828,True,9.8076,8.95,9.95,0.0342,7.7,70,A 1% price increase leads to a 22.84% decrease in demand. Highly price-sensitive.
21107,CREAM SLICE FLANNEL PINK SPOT ,General,-22.8312,Highly Elastic,0.6438,0.0,4.1193,True,2.8908,2.55,2.95,0.0487,22.42,19,A 1% price increase leads to a 22.83% decrease in demand. Highly price-sensitive.
