product_id,product_name,category,price_elasticity,elasticity_type,current_price,recommended_price,price_adjustment_pct,action,expected_revenue_lift_pct,estimated_profit_impact_pct,confidence,r_squared,is_significant,avg_daily_qty,interpretation
84632,DECORATIVE HANGING SHELVING UNIT,General,-26.5483,Highly Elastic,59.8341,57.5784,-3.77,LOWER_PRICE,96.32,38.53,HIGH,0.4156,True,11.24,A 1% price increase leads to a 26.55% decrease in demand. Highly price-sensitive.
35921,EASTER BUNNY HANGING GARLAND,General,-25.1669,Highly Elastic,1.2477,1.1982,-3.97,LOWER_PRICE,95.94,38.38,HIGH,0.3164,True,8.58,A 1% price increase leads to a 25.17% decrease in demand. Highly price-sensitive.
90122A,PINK CRYSTAL+GLASS BRACELET,General,-22.5446,Highly Elastic,4.9518,4.7319,-4.44,LOWER_PRICE,95.66,38.26,MEDIUM,0.2334,True,7.64,A 1% price increase leads to a 22.54% decrease in demand. Highly price-sensitive.
90123B,TURQUOISE HEART OF GLASS BRACELET,General,-22.3066,Highly Elastic,5.9004,5.6361,-4.48,LOWER_PRICE,95.45,38.18,MEDIUM,0.1726,False,12.28,A 1% price increase leads to a 22.31% decrease in demand. Highly price-sensitive.
84913B,MINT GREEN ROSE TOWEL,General,-19.5397,Highly Elastic,4.6298,4.3928,-5.12,LOWER_PRICE,94.92,37.97,MEDIUM,0.2366,True,8.83,A 1% price increase leads to a 19.54% decrease in demand. Highly price-sensitive.
84508C,check,General,-17.0325,Highly Elastic,2.5327,2.384,-5.87,LOWER_PRICE,94.11,37.64,MEDIUM,0.2154,True,7.15,A 1% price increase leads to a 17.03% decrease in demand. Highly price-sensitive.
22719,Unknown,General,-16.0698,Highly Elastic,1.1335,1.063,-6.22,LOWER_PRICE,93.73,37.49,HIGH,0.3811,True,11.64,A 1% price increase leads to a 16.07% decrease in demand. Highly price-sensitive.
22874,NUMBER TILE COTTAGE GARDEN 6,General,-15.6109,Highly Elastic,1.932,1.8082,-6.41,LOWER_PRICE,93.66,37.46,MEDIUM,0.1822,True,7.91,A 1% price increase leads to a 15.61% decrease in demand. Highly price-sensitive.
84870B,BLUE GEISHA GIRL ,General,-15.4198,Highly Elastic,3.7373,3.4947,-6.49,LOWER_PRICE,93.58,37.43,LOW,0.1302,False,8.41,A 1% price increase leads to a 15.42% decrease in demand. Highly price-sensitive.
85130A,Unknown,General,-15.2355,Highly Elastic,1.6433,1.5355,-6.56,LOWER_PRICE,93.38,37.35,MEDIUM,0.1819,True,8.87,A 1% price increase leads to a 15.24% decrease in demand. Highly price-sensitive.
