customer_key,customer_id,customer_name,rank,product_key,product_id,product_name,rec_score
1,17850,Unknown,1,3499,22423,damages,109.0051
1,17850,Unknown,2,141,85099B,JUMBO BAG RED RETROSPOT,106.3854
1,17850,Unknown,3,3720,22720,None,102.5605
1,17850,Unknown,4,3393,22383,LUNCH BAG SUKI DESIGN ,102.2962
1,17850,Unknown,5,3052,POST,None,102.1822
1,17850,Unknown,6,4382,22197,POPCORN HOLDER,102.0654
1,17850,Unknown,7,4064,23298,"BUNTING , SPOTTY ",101.8521
1,17850,Unknown,8,267,20726,LUNCH BAG WOODLAND,101.5578
1,17850,Unknown,9,266,22382,LUNCH BAG SPACEBOY DESIGN ,101.1078
1,17850,Unknown,10,296,20727,LUNCH BAG  BLACK SKULL.,101.0999
2,13047,Unknown,1,3393,22383,LUNCH BAG SUKI DESIGN ,422.9108
2,13047,Unknown,2,127,22457,NATURAL SLATE HEART CHALKBOARD ,412.305
2,13047,Unknown,3,55,82482,WOODEN PICTURE FRAME WHITE FINISH,410.5293
2,13047,Unknown,4,3350,22993,SET OF 4 PANTRY JELLY MOULDS,407.5362
2,13047,Unknown,5,4084,23202,JUMBO BAG VINTAGE LEAF,407.2603
2,13047,Unknown,6,5616,21181,dotcom,406.8779
2,13047,Unknown,7,4023,22726,None,404.7256
2,13047,Unknown,8,308,22178,VICTORIAN GLASS HANGING T-LIGHT,402.0932
2,13047,Unknown,9,4996,23084,website fixed,400.4978
2,13047,Unknown,10,641,22624,IVORY KITCHEN SCALES,400.0272
3,12583,Unknown,1,4169,84879,damaged,605.961
3,12583,Unknown,2,79,22961,JAM MAKING SET PRINTED,595.1246
3,12583,Unknown,3,624,22699,ROSES REGENCY TEACUP AND SAUCER ,580.6371
3,12583,Unknown,4,3097,20914,SET/5 RED SPOTTY LID GLASS BOWLS,579.0341
3,12583,Unknown,5,1767,22139,amazon,575.2442
3,12583,Unknown,6,4725,23284,None,573.5979
3,12583,Unknown,7,18,21754,HOME BUILDING BLOCK WORD,568.7425
3,12583,Unknown,8,629,22697,GREEN REGENCY TEACUP AND SAUCER,565.8514
3,12583,Unknown,9,59,21733,RED HANGING HEART T-LIGHT HOLDER,565.0981
3,12583,Unknown,10,4579,21166,?,564.0882
4,13748,Unknown,1,1656,47566,PARTY BUNTING,89.6869
4,13748,Unknown,2,141,85099B,JUMBO BAG RED RETROSPOT,89.451
4,13748,Unknown,3,3098,20725,LUNCH BAG RED SPOTTY,88.5229
4,13748,Unknown,4,4777,23203,JUMBO BAG VINTAGE DOILY ,88.164
4,13748,Unknown,5,4169,84879,damaged,87.6207
4,13748,Unknown,6,3720,22720,None,86.9457
4,13748,Unknown,7,3393,22383,LUNCH BAG SUKI DESIGN ,86.4072
4,13748,Unknown,8,4382,22197,POPCORN HOLDER,85.9715
4,13748,Unknown,9,4064,23298,"BUNTING , SPOTTY ",85.8473
4,13748,Unknown,10,4778,23209,LUNCH BAG VINTAGE DOILY ,85.8099
5,15100,Unknown,1,1656,47566,PARTY BUNTING,1.5297
5,15100,Unknown,2,267,20726,LUNCH BAG WOODLAND,1.5241
5,15100,Unknown,3,715,22666,RECIPE BOX PANTRY YELLOW DESIGN,1.5119
5,15100,Unknown,4,5749,85123A,CREAM HANGING HEART T-LIGHT HOLDER,1.5115
5,15100,Unknown,5,295,20728,LUNCH BAG CARS BLUE,1.4888
5,15100,Unknown,6,141,85099B,JUMBO BAG RED RETROSPOT,1.4772
5,15100,Unknown,7,2450,22138,BAKING SET 9 PIECE RETROSPOT ,1.4765
5,15100,Unknown,8,4778,23209,LUNCH BAG VINTAGE DOILY ,1.472
5,15100,Unknown,9,55,82482,WOODEN PICTURE FRAME WHITE FINISH,1.4705
5,15100,Unknown,10,3499,22423,damages,1.466
6,15291,Unknown,1,3052,POST,None,395.4136
6,15291,Unknown,2,4778,23209,LUNCH BAG VINTAGE DOILY ,392.4148
6,15291,Unknown,3,79,22961,JAM MAKING SET PRINTED,391.5218
6,15291,Unknown,4,267,20726,LUNCH BAG WOODLAND,390.928
6,15291,Unknown,5,127,22457,NATURAL SLATE HEART CHALKBOARD ,386.7654
6,15291,Unknown,6,268,22384,LUNCH BAG PINK POLKADOT,385.7019
6,15291,Unknown,7,36,22629,SPACEBOY LUNCH BOX ,381.6632
6,15291,Unknown,8,5616,21181,dotcom,380.9331
6,15291,Unknown,9,3097,20914,SET/5 RED SPOTTY LID GLASS BOWLS,380.6899
6,15291,Unknown,10,1767,22139,amazon,377.2127
7,14688,Unknown,1,3720,22720,None,798.3009
7,14688,Unknown,2,3863,23206,LUNCH BAG APPLE DESIGN,760.1357
7,14688,Unknown,3,202,22558,CLOTHES PEGS RETROSPOT PACK 24 ,744.9223
7,14688,Unknown,4,4823,23355,HOT WATER BOTTLE KEEP CALM,744.3485
7,14688,Unknown,5,2968,22865,None,742.2043
7,14688,Unknown,6,123,82484,WOOD BLACK BOARD ANT WHITE FINISH,738.1052
7,14688,Unknown,7,27,22728,ALARM CLOCK BAKELIKE PINK,736.4899
7,14688,Unknown,8,365,22630,DOLLY GIRL LUNCH BOX,735.1542
7,14688,Unknown,9,429,22551,PLASTERS IN TIN SPACEBOY,730.2068
7,14688,Unknown,10,607,20972,PINK CREAM FELT CRAFT TRINKET BOX ,722.5803
8,17809,Unknown,1,5749,85123A,CREAM HANGING HEART T-LIGHT HOLDER,169.6373
8,17809,Unknown,2,4777,23203,JUMBO BAG VINTAGE DOILY ,163.1599
8,17809,Unknown,3,4169,84879,damaged,163.1276
8,17809,Unknown,4,3052,POST,None,160.7166
8,17809,Unknown,5,4778,23209,LUNCH BAG VINTAGE DOILY ,159.6755
