customer_id,customer_name,state,city,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_value,segment
12347,Unknown,Iceland,,2011-09-06,106,2540.29,5279,3,5,5,355,4.333333333333333,Loyal Customers
12348,Unknown,Finland,,2011-05-04,5,367.0,5404,2,1,3,213,2.0,Need Attention
12350,Unknown,Norway,,2011-02-02,17,334.4,5495,1,2,2,122,1.6666666666666667,About to Sleep
12352,Unknown,Norway,,2011-03-11,21,832.58,5458,1,2,4,124,2.3333333333333335,Need Attention
12355,Unknown,Bahrain,,2011-09-05,13,459.4,5280,3,2,3,323,2.6666666666666665,Promising
12356,Unknown,Portugal,,2011-08-04,21,481.46,5312,3,2,3,323,2.6666666666666665,Promising
12357,Unknown,Switzerland,,2011-06-11,131,6207.67,5366,2,5,5,255,4.0,Loyal Customers
12358,Unknown,Austria,,2011-12-07,19,1168.06,5187,5,2,4,524,3.6666666666666665,Potential Loyalists
12359,Unknown,Cyprus,,2011-12-01,143,3495.73,5193,5,5,5,555,5.0,Champions
12362,Unknown,Belgium,,2011-11-10,110,2135.79,5214,5,5,5,555,5.0,Champions
12363,Unknown,Unspecified,,2011-11-04,16,299.1,5220,4,2,2,422,2.6666666666666665,Promising
12364,Unknown,Belgium,,2011-02-12,27,310.32,5485,1,3,2,132,2.0,Need Attention
12367,Unknown,Denmark,,2011-05-12,11,168.9,5396,2,2,1,221,1.6666666666666667,About to Sleep
12371,Unknown,Switzerland,,2011-11-10,62,1527.96,5214,5,4,5,545,4.666666666666667,Champions
12372,Unknown,Denmark,,2011-11-05,19,515.7,5219,4,2,3,423,3.0,Recent Customers
12373,Unknown,Austria,,2011-01-02,14,364.6,5526,1,2,3,123,2.0,Need Attention
12375,Unknown,Finland,,2011-02-09,11,230.3,5488,1,2,2,122,1.6666666666666667,About to Sleep
12378,Unknown,Switzerland,,2011-02-08,219,4008.62,5489,1,5,5,155,3.6666666666666665,Potential Loyalists
12380,Unknown,Belgium,,2011-07-06,36,607.55,5341,3,3,3,333,3.0,Recent Customers
12381,Unknown,Norway,,2011-12-10,87,1845.31,5184,5,5,5,555,5.0,Champions
12383,Unknown,Belgium,,2011-12-01,36,750.61,5193,5,3,4,534,4.0,Loyal Customers
12384,Unknown,Switzerland,,2011-11-11,27,585.27,5213,5,3,3,533,3.6666666666666665,Potential Loyalists
12386,Unknown,Australia,,2011-06-01,10,401.9,5376,2,1,3,213,2.0,Need Attention
12388,Unknown,Australia,,2011-09-03,16,334.95,5282,3,2,2,322,2.3333333333333335,Need Attention
12393,Unknown,Australia,,2011-11-01,36,884.1,5223,4,3,4,434,3.6666666666666665,Potential Loyalists
12395,Unknown,Belgium,,2011-12-05,94,1726.63,5189,5,5,5,555,5.0,Champions
12397,Unknown,Belgium,,2011-04-11,56,1195.09,5427,2,4,4,244,3.3333333333333335,Recent Customers
12399,Unknown,Belgium,,2011-12-08,39,820.6,5186,5,4,4,544,4.333333333333333,Loyal Customers
12401,Unknown,Belgium,,2011-09-02,5,84.3,5283,3,1,1,311,1.6666666666666667,About to Sleep
12406,Unknown,Denmark,,2011-09-06,48,1580.0,5279,3,4,5,345,4.0,Loyal Customers
12407,Unknown,Belgium,,2011-06-07,33,719.06,5370,2,3,4,234,3.0,Recent Customers
12408,Unknown,Belgium,,2011-07-11,40,1396.78,5336,3,4,5,345,4.0,Loyal Customers
12409,Unknown,Switzerland,,2011-10-06,64,6207.08,5249,4,4,5,445,4.333333333333333,Loyal Customers
12410,Unknown,Switzerland,,2011-04-02,26,693.33,5436,1,3,4,134,2.6666666666666665,Promising
12413,Unknown,France,,2011-06-01,34,673.45,5376,2,3,4,234,3.0,Recent Customers
12414,Unknown,Austria,,2011-06-05,13,319.61,5372,2,2,2,222,2.0,Need Attention
12415,Unknown,Australia,,2011-10-01,226,44168.79,5254,4,5,5,455,4.666666666666667,Champions
12420,Unknown,Cyprus,,2011-07-10,29,600.39,5337,3,3,3,333,3.0,Recent Customers
12423,Unknown,Belgium,,2011-09-12,40,548.92,5273,4,4,3,443,3.6666666666666665,Potential Loyalists
12427,Unknown,Germany,,2011-10-10,25,586.08,5245,4,3,3,433,3.3333333333333335,Recent Customers
12428,Unknown,Finland,,2011-11-08,259,6580.52,5216,5,5,5,555,5.0,Champions
12433,Unknown,Norway,,2011-09-12,294,9033.92,5273,4,5,5,455,4.666666666666667,Champions
12436,Unknown,Norway,,2011-01-09,16,509.01,5519,1,2,3,123,2.0,Need Attention
12437,Unknown,France,,2011-12-01,84,2040.81,5193,5,5,5,555,5.0,Champions
12441,Unknown,France,,2010-08-12,11,173.55,5669,1,2,1,121,1.3333333333333333,At Risk
12442,Unknown,Spain,,2011-06-12,12,172.06,5365,2,2,1,221,1.6666666666666667,About to Sleep
12444,Unknown,Norway,,2011-12-10,32,1636.08,5184,5,3,5,535,4.333333333333333,Loyal Customers
12447,Unknown,Belgium,,2011-10-04,26,476.49,5251,4,3,3,433,3.3333333333333335,Recent Customers
12449,Unknown,Belgium,,2011-09-09,132,2724.58,5276,4,5,5,455,4.666666666666667,Champions
12450,Unknown,Spain,,2011-06-07,2,96.0,5370,2,1,1,211,1.3333333333333333,At Risk
12451,Unknown,Switzerland,,2011-05-10,194,4927.87,5398,2,5,5,255,4.0,Loyal Customers
