date,day_of_week,month,quarter,year,week_of_year,revenue,transactions,units,trend,seasonal_component,residual,seasonal_index
2010-01-12,Tuesday,1,1,2010,2,42225.21,1786.0,22177.0,1145.783387978142,233.26550570244575,40846.161106319414,1.203586042658611
2010-01-13,Wednesday,1,1,2010,2,0.0,0.0,0.0,1139.556304347826,94.19670809983174,-1233.7530124476577,1.0826608634785633
2010-01-14,Thursday,1,1,2010,2,0.0,0.0,0.0,1133.3965405405404,146.78197292085125,-1280.1785134613917,1.1295062828150577
2010-01-15,Friday,1,1,2010,2,0.0,0.0,0.0,1127.3030107526881,160.64116016309453,-1287.9441709157827,1.1425004267981473
2010-01-16,Saturday,1,1,2010,2,0.0,0.0,0.0,1121.274652406417,125.24863283324203,-1246.5232852396591,1.1117020103544126
2010-01-17,Sunday,1,1,2010,2,0.0,0.0,0.0,1115.310425531915,-952.7642228649354,-162.54620266697953,0.1457407722064983
2010-01-18,Monday,1,1,2010,3,0.0,0.0,0.0,1109.409312169312,202.98504368594732,-1312.3943558552594,1.1829667747145869
2010-01-19,Tuesday,1,1,2010,3,0.0,0.0,0.0,1103.5703157894736,224.6715133870925,-1328.2418291765662,1.203586042658611
2010-01-20,Wednesday,1,1,2010,3,0.0,0.0,0.0,1097.7924607329842,90.74447272444525,-1188.5369334574293,1.0826608634785633
2010-01-21,Thursday,1,1,2010,3,0.0,0.0,0.0,1092.0747916666667,141.43054682477856,-1233.5053384914452,1.1295062828150577
2010-01-22,Friday,1,1,2010,3,0.0,0.0,0.0,1086.4163730569946,154.814796841117,-1241.2311698981116,1.1425004267981473
2010-01-23,Saturday,1,1,2010,3,0.0,0.0,0.0,1080.8162886597938,120.72935226709411,-1201.545640926888,1.1117020103544126
2010-01-24,Sunday,1,1,2010,3,0.0,0.0,0.0,1075.273641025641,-918.562430249271,-156.71121077636997,0.1457407722064983
2010-01-25,Monday,1,1,2010,4,0.0,0.0,0.0,1069.787551020408,195.73557784002062,-1265.5231288604286,1.1829667747145869
2010-01-26,Tuesday,1,1,2010,4,0.0,0.0,0.0,1064.357157360406,216.68826164237348,-1281.0454190027795,1.203586042658611
2010-01-27,Wednesday,1,1,2010,4,0.0,0.0,0.0,1058.981616161616,87.53633479984364,-1146.5179509614597,1.0826608634785633
2010-01-28,Thursday,1,1,2010,4,0.0,0.0,0.0,1053.6601005025125,136.45560296662052,-1190.115703469133,1.1295062828150577
2010-01-29,Friday,1,1,2010,4,0.0,0.0,0.0,1048.3917999999999,149.3962789516779,-1197.7880789516778,1.1425004267981473
2010-01-30,Saturday,1,1,2010,4,0.0,0.0,0.0,1043.1759203980098,116.52484746177241,-1159.7007678597822,1.1117020103544126
2010-01-31,Sunday,1,1,2010,4,0.0,0.0,0.0,1038.0116831683167,-886.7310589039992,-151.28062426431757,0.1457407722064983
2010-02-01,Monday,2,1,2010,5,0.0,0.0,0.0,1032.8983251231527,188.98607515588202,-1221.8844002790347,1.1829667747145869
2010-02-02,Tuesday,2,1,2010,5,0.0,0.0,0.0,1027.8350980392156,209.25288011542926,-1237.0879781546448,1.203586042658611
2010-02-03,Wednesday,2,1,2010,5,0.0,0.0,0.0,1022.8212682926828,84.5472892213124,-1107.3685575139953,1.0826608634785633
2010-02-04,Thursday,2,1,2010,5,0.0,0.0,0.0,1017.8561165048543,131.818762089114,-1149.6748785939683,1.1295062828150577
2010-02-05,Friday,2,1,2010,5,0.0,0.0,0.0,1012.9389371980676,144.3442308711864,-1157.283168069254,1.1425004267981473
2010-02-06,Saturday,2,1,2010,5,0.0,0.0,0.0,1008.0690384615384,112.60333817219355,-1120.672376633732,1.1117020103544126
