store_key,store_id,store_name,country,tier,rank,total_revenue,total_txns,total_units,unique_customers,unique_products,avg_order_value,revenue_per_unit,revenue_per_day,market_share_pct,cumulative_share,first_sale,last_sale,active_days,best_month_year,best_month_month,best_month_revenue
32,32,United Kingdom Store,United Kingdom,A,1,21961927.57,820286,7907258,2984,3507,26.77,2.78,10074.28,88.01,88.01,2010-01-12,2015-12-31,2180,2012,6,507029.75
33,33,France Store,France,B,2,560049.58,21083,203026,605,2662,26.56,2.76,257.02,2.24,90.26,2010-01-12,2015-12-30,2179,2015,1,17811.76
36,36,Germany Store,Germany,B,3,559034.49,20449,202409,598,2647,27.34,2.76,256.44,2.24,92.5,2010-01-12,2015-12-31,2180,2015,12,19560.56
38,38,EIRE Store,EIRE,B,4,424648.85,14672,157513,415,2478,28.94,2.7,194.88,1.7,94.2,2010-01-12,2015-12-30,2179,2012,9,16925.87
35,35,Netherlands Store,Netherlands,B,5,190145.37,4588,96531,154,1685,41.44,1.97,87.22,0.76,94.96,2010-01-12,2015-12-31,2180,2011,11,19957.06
44,44,Belgium Store,Belgium,B,6,164933.77,6124,57066,225,1869,26.93,2.89,77.84,0.66,95.62,2010-03-12,2015-12-29,2119,2012,3,8804.44
40,40,Spain Store,Spain,C,7,160342.41,5683,53516,193,1874,28.21,3.0,75.88,0.64,96.26,2010-03-12,2015-12-23,2113,2012,1,10404.74
39,39,Switzerland Store,Switzerland,C,8,155803.86,5108,53172,171,1790,30.5,2.93,73.81,0.62,96.89,2010-03-12,2015-12-21,2111,2015,9,8975.44
34,34,Australia Store,Australia,C,9,111294.58,2692,49457,101,1278,41.34,2.25,51.08,0.45,97.33,2010-01-12,2015-12-30,2179,2011,3,17102.08
42,42,Portugal Store,Portugal,C,10,102668.26,4197,37880,149,1636,24.46,2.71,48.54,0.41,97.75,2010-03-12,2015-12-25,2115,2012,6,7081.17
37,37,Norway Store,Norway,C,11,76940.25,2734,29344,92,1315,28.14,2.62,35.34,0.31,98.05,2010-01-12,2015-12-28,2177,2013,10,7155.54
52,52,Finland Store,Finland,C,12,66528.11,2366,23424,99,1243,28.12,2.84,36.57,0.27,98.32,2011-01-03,2015-12-26,1819,2011,1,5859.22
50,50,Cyprus Store,Cyprus,C,13,56425.08,2028,19694,73,1129,27.82,2.87,32.21,0.23,98.55,2011-03-06,2015-12-21,1752,2015,12,4938.89
48,48,Channel Islands Store,Channel Islands,C,14,55730.07,2037,19739,85,1120,27.36,2.82,28.79,0.22,98.77,2010-09-12,2015-12-30,1936,2015,11,5970.58
46,46,Japan Store,Japan,C,15,48040.26,1346,19278,54,871,35.69,2.49,23.84,0.19,98.96,2010-05-12,2015-11-16,2015,2011,9,5735.24
41,41,Poland Store,Poland,C,16,30301.66,1159,11224,39,799,26.14,2.7,14.48,0.12,99.08,2010-03-12,2015-12-03,2093,2015,11,3225.25
51,51,Sweden Store,Sweden,C,17,28901.14,816,14950,34,618,35.42,1.93,15.9,0.12,99.2,2011-01-02,2015-12-24,1818,2011,6,3496.79
43,43,Italy Store,Italy,C,18,27269.93,1058,10091,45,744,25.77,2.7,12.88,0.11,99.31,2010-03-12,2015-12-28,2118,2013,6,3409.5
49,49,Denmark Store,Denmark,C,19,22874.84,753,9284,39,555,30.38,2.46,12.04,0.09,99.4,2010-09-12,2015-11-24,1900,2010,9,2563.0
53,53,Austria Store,Austria,C,20,22402.25,838,7978,31,637,26.73,2.81,12.38,0.09,99.49,2011-01-02,2015-12-15,1809,2014,6,2479.51
